gametype,gamecode,gamename,gameplat,lang,status,maintain,nameset,language
slot,173,6 Toros,web,zh-cn,TRUE,FALSE,666,zh-cn
,,,,en,,,6 Toros,en
,,,,th,,,6 โทรอส,th
slot,183,Wolf Disco,web,en,TRUE,FALSE,วูฟดิสโก้,th
,,,,th,,,늑대 디스코,ko
,,,,ko,,,野狼Disco,zh-cn
,,,,zh-cn,,,Wolf Disco,en
lotto,qatest1124,1124,mobile,zh-cn,TRUE,FALSE,1124,zh-cn
table,qatesttest11250332,test11250332,mobile,zh-cn,TRUE,FALSE,test11250332,zh-cn
live,CA01,Yaxing Live,"mobile,web",zh-cn,TRUE,FALSE,Yaxing Live,en
,,,,en,,,亚星真人,zh-cn
slot,4,WildTarzan,web,ko,TRUE,FALSE,森林泰后,zh-cn
,,,,th,,,Wild Tarzan,en
,,,,vn,,,와일드 타잔,ko
,,,,id,,,ทาร์ซานป่า,th
,,,,pt-br,,,Tarzan hoang dã,vn
,,,,zh-cn,,,Tarzan Liar,id
,,,,en,,,Tarzan Selvagem,pt-br
slot,9,ZhongKui,web,zh-cn,TRUE,FALSE,Zhong Kui,en
,,,,en,,,종규,ko
,,,,ko,,,จงขุ่ย,th
,,,,th,,,Zhong Kui,vn
,,,,vn,,,Zhong Kui,es
,,,,es,,,Zhong Kui,id
,,,,id,,,Zhong Kui,pt-br
,,,,pt-br,,,钟馗运财,zh-cn
slot,13,SakuraLegend,web,th,TRUE,FALSE,樱花妹子,zh-cn
,,,,vn,,,Sakura Legend,en
,,,,id,,,사쿠라 레전드,ko
,,,,pt-br,,,ตำนานซากุระ,th
,,,,zh-cn,,,Truyền thuyết Sakura,vn
,,,,en,,,Legenda Sakura,id
,,,,ko,,,Lenda Sakura,pt-br
slot,17,GreatLion,web,ko,TRUE,FALSE,Grande Leão,pt-br
,,,,th,,,祥狮献瑞,zh-cn
,,,,vn,,,Great Lion,en
,,,,id,,,그레이트 라이언,ko
,,,,pt-br,,,สิงโตให้มงคล,th
,,,,zh-cn,,,Sư tử lớn,vn
,,,,en,,,Singa Besar,id
slot,201,MuayThai,web,es,TRUE,FALSE,MuayThai,en
,,,,ko,,,มวยไทย,th
,,,,zh-cn,,,Muay Thai,es
,,,,en,,,무에타이,ko
,,,,th,,,拳霸,zh-cn
slot,203,RaveHigh,web,ko,TRUE,FALSE,레이브 하이,ko
,,,,th,,,มันส์ๆหน่อยเซ่,th
,,,,zh-cn,,,嗨起来,zh-cn
,,,,en,,,RaveHigh,en
,,,,es,,,Rave High,es
slot,79,chameleon,web,es,TRUE,FALSE,Chameleon,vn
,,,,id,,,Camaleón,es
,,,,pt-br,,,Bunglon,id
,,,,zh-cn,,,Camaleão,pt-br
,,,,en,,,变色龙,zh-cn
,,,,ko,,,Chameleon,en
,,,,th,,,카멜레온,ko
,,,,vn,,,กิ้งก่า,th
slot,89,Thor,web,zh-cn,TRUE,FALSE,Thor,vn
,,,,en,,,ธอร์,th
,,,,vn,,,Thor,id
,,,,th,,,토르,ko
,,,,pt-br,,,Thor,pt-br
,,,,es,,,雷神,zh-cn
,,,,ja,,,Thor,en
,,,,id,,,Thor,es
,,,,ko,,,ソー,ja
slot,AS01,Boots of Luck,"web,mobile",en,TRUE,FALSE,Boots of Luck,en
,,,,zh-cn,,,运气靴,zh-cn
slot,AS02,Cirque de fous,"web,mobile",en,TRUE,FALSE,Cirque de fous,en
,,,,zh-cn,,,疯狂马戏团,zh-cn
